Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Africa,Guinea-Bissau,None,2020-04-29,7.282816090715052,0.3299885519787694,0.15706072387043024,0.7377392273839016,0.005710586010687575,0.056942630876430325,2.3965960422323964,0.16451425678662673
South America,Guyana,None,2020-05-10,3.60148183647259,0.8378298643852062,-7.395117634015435,1.0197150758043572,0.09129564995673707,0.022019375404545412,0.08338652490279873,0.15530530151007266
North America,Haiti,None,2020-05-05,6.654547461788843,0.7457162014512191,16.698005280309896,2.0422348980565475,1.8120049438658432,0.014767348149359477,0.04116074641120641,1.7359708205070317
North America,Honduras,None,2020-03-29,20.789385433348922,1.3879744358378947,-127.25602948424178,0.17662356847722582,2.4686942035208705,0.03497224720530271,0.16722712087134958,0.6453039993529728
Europe,Hungary,None,2020-03-21,9.047956799641717,4.57644827704385,-16.197374869113293,4.2328914482779485,0.1279842140173126,0.1418824999472575,2.970843948795899,0.8803705734814027
Europe,Iceland,None,2020-03-12,8.543619879797394,48.65107536606416,-0.0246117283531457,252.94064671033783,0.12365285521601048,0.005583468122370943,3.977510737231228,0.0006893925060491318
Asia,India,None,2020-03-14,45.185451384044406,0.6725055835524226,0.16560491716312567,0.136565070197334,3.7889037869221527,0.030933572306621894,14.990428401947334,0.18955678059995576
Asia,Indonesia,None,2020-03-15,19.131095682713326,0.483953171368216,-127.6743453597917,0.020161798897040752,4.073450487741097,0.05798204425580392,10.849205167730917,3.490047600345853
Asia,Iran,None,2020-02-26,50.307777202282054,0.3821701137741197,0.5968989940692376,0.018557701592472185,24.95119002494269,0.05147340602217259,259.0838226997732,190.20455067183585
Asia,Iraq,None,2020-03-13,36.697185984819995,0.6270381635040926,-18.653257024963033,0.006002762572865652,1.5610033834359762,0.03404791902588133,0.0077943915453870544,0.41526016594356585
Europe,Ireland,None,2020-03-14,21.33406903349966,0.6729178743756487,18.90129221930967,2.1456541778879417,0.14871392825357946,0.06771556734287168,3.016990285623605,0.6425264522905562
Asia,Israel,None,2020-03-12,15.428094671606521,9.502227697105129,0.9338531867292291,19.18408762113107,0.09952474488241261,0.016533842557764158,1.751078095036142,0.02679790821751378
Europe,Italy,None,2020-02-23,26.632406456095293,1.6203275770188457,0.0557671309829632,1.6950272983924857,0.22021686012468933,0.14472629861134342,15.653547594226005,3.691707472471224
Africa,Jamaica,None,2020-04-15,5.038162652850575,0.31334764755204036,0.28626130533714367,0.4767560455612866,0.3532500169887221,0.008314130744602986,0.47309204894002405,1.1912152724404514
Asia,Japan,None,2020-02-21,22.57275619527173,3.0124599784591415,7.457004061888875,2.729804639214617,0.04715583929344905,0.060519749027142175,0.008066463329610711,0.0011270282322408873
Asia,Jordan,None,2020-03-22,17.836344010556413,0.9972194837856286,-368.00840626922667,0.07975263002293143,1.3346106030121985,0.011583339204655662,0.005085600788335223,0.6692641976974717
Asia,Kazakhstan,None,2020-03-26,19.060029599923013,0.510154893356473,-1.7082271138180454,0.09591875820815621,0.5788765306390395,0.0056918382122470084,0.0820809128504046,3.5502495178666647
Africa,Kenya,None,2020-04-02,12.292741238314262,1.2587234872569837,-118.93834402980677,0.16395803350801783,0.5619913158003121,0.0302095933414648,0.0028019317831868527,0.3376251964860566
Asia,"Korea, South",None,2020-02-20,8.95010594840136,0.21117220373995474,0.31157699594399496,0.018045305434346626,0.05388757682808966,0.02431513850871549,34.55669449312988,12.73051767533056
Europe,Kosovo,None,2020-03-31,23.35034721414931,1.5592876224546133,-21.908227994418375,1.1120227383792298,2.966780620593667,0.02418747278298578,1.0089796695237705,0.023380825224693456
Asia,Kuwait,None,2020-03-14,26.124613424158944,1.9774286283859788,-0.10560667681677097,0.9382200705421195,0.17702674134657662,0.009191997535582013,0.05093380118967949,0.008063583002646552
Europe,Latvia,None,2020-03-20,14.860656659032768,0.590496347432574,-312.4049558080516,0.0724240404542355,0.024896573720136005,0.03403374942053377,1.7589285266637515,0.7490163540999416
Asia,Lebanon,None,2020-03-15,16.190735696621232,0.5150656690023171,-786.3339548508139,0.012840647308870096,2.9545696415984977,0.02140395005626157,0.13935232009706133,1.1784182902663045
Africa,Liberia,None,2020-04-21,12.293794021136993,0.7166958299599357,-223.89590888364762,0.04650450941467955,2.0936597522797764,0.058452071025040714,0.05922190912395307,0.3345194068467244
Africa,Libya,None,2020-05-28,10.070663126072818,1.2433334905067743,-2.6211657902635546,3.935349221921305,0.06330885809144757,0.013514395585448754,2.231229552031358,0.1913717036054966
Europe,Lithuania,None,2020-03-22,5.20963912946658,1.0003506976119736,-179.68782685794068,0.2609311725919021,0.04836718637739403,0.04663668182943583,3.02609252188576,0.9027699264854184
Europe,Luxembourg,None,2020-03-17,3.4503268408190086,0.5771989323199553,-364.38128728400653,0.11770722463513507,0.0836841289597306,0.027493468296288553,16.48706609301176,0.09057203140293837
Africa,Madagascar,None,2020-04-11,17.433483354124025,4.935453263882674,-3.754409196573164,2.9038249018680973,0.003976571818958375,0.10293040609752399,0.0029308283043567116,0.0014441919098144632
Africa,Malawi,None,2020-05-25,13.929310017398151,0.8290180696531543,-7.837862579561631,2.219845623378334,0.04521911551330558,0.00904382227214609,2.663504115689002,0.7565623328104921
Asia,Malaysia,None,2020-03-09,22.4090355058,0.9379289713910952,-76.01013082925557,0.33587595134525944,0.9009867990992819,0.015178363484216351,10.883708577187898,0.008382799718615044
Asia,Maldives,None,2020-04-23,8.918328851327521,0.5128890983817037,3.7596039171204647,0.630715837205863,0.29055622375640944,0.003936560456385795,0.12742992345930437,1.9213716147447721
Africa,Mali,None,2020-04-12,5.861990869109506,0.7951266030734726,-84.06322814638992,0.1734373636738406,0.3496956942431155,0.05708524894334079,0.02494085215347658,2.206391974068739
Europe,Malta,None,2020-03-23,8.113133147369577,0.5281255231612045,-233.0120614045411,0.06716245442485157,0.027584862250934438,0.018494835167304265,0.46453248012971854,0.6346429867311484
Africa,Mauritania,None,2020-05-19,11.239059862300476,1.0635765262419368,-11.141324489919775,0.5815272002685915,0.10830254979712219,0.06652850225413036,0.8387244374053281,0.7976147095706007
Africa,Mauritius,None,2020-03-28,2.7063262107405865,0.004495251097872819,-332.49759942880416,45.22769474489676,0.45681608243343536,0.02459896626077352,1.9488559204333034,0.6512975035970384
North America,Mexico,None,2020-03-19,36.852505613978735,1.4935198997059047,-66.80951155234693,0.29640692775336674,0.13354267738220904,0.1483594409619728,4.307368875344975,1.4582001219469882
Europe,Moldova,None,2020-03-23,28.9979809901036,0.4796529625002927,-148.22664034032258,0.022547685389320643,0.3099328024585729,0.03698009752458588,4.395109983622359,1.4485883150832435
Asia,Mongolia,None,2020-05-16,,1.9526641837730736,-2.3815640658159545,6.938939178422286,0.0023341509473928136,0.000385321219143075,0.14721249659329916,0.015881833920424082
Europe,Montenegro,None,2020-03-31,7.242376295705968,0.033898722914480345,-147.42565461816818,44.02522908113674,0.055313342626264785,0.0231419828081594,1.7919856175628746,0.4871115863349238
Africa,Morocco,None,2020-03-22,21.678579734630596,0.6661244893787859,-18.517455774557664,0.36741338472230317,2.036808053812877,0.025694034722739498,0.11527586391143367,6.0254436800066005
Africa,Mozambique,None,2020-05-11,10.696326862264604,0.4879692550695052,22.8784948785262,1.4695545782219404,0.04704779614621197,0.011969015046847548,0.10421805603775434,0.15476043508109844
Asia,Nepal,None,2020-05-07,18.45639099008799,2.3864233924989526,-10.420727063069053,1.3523374770868115,0.5868091123779989,0.0031010020909828322,1.0841864192719624,0.09752031026019048
Europe,Netherlands,None,2020-03-06,40.548608749290594,1.324218111438747,0.8346286980006438,1.6078234532515847,0.31412776824261696,0.12745920772750882,10.302411329232987,0.28539358945115967
Oceania,New Zealand,None,2020-03-22,31.42875763349011,20.359261912492915,-0.0117408698659125,314.7203594958631,0.06016431241016971,0.015084243832071072,8.406115691979366,0.0034547900261717476
North America,Nicaragua,None,2020-05-19,11.520520396533232,0.5466368243609188,1.3483098792833446,1.1679168048156017,0.3817471943910364,0.030132006571043563,2.7141281229372676,0.27770575768065625
Africa,Niger,None,2020-04-03,6.618539192684153,0.24280309418793827,23.30130007671679,0.041461742299422386,0.05641553341337391,0.0707974857743901,0.00872944651883089,3.136365013715917
Africa,Nigeria,None,2020-03-29,16.174036376059114,1.3195132406043122,-49.94802685415536,0.33526847870317894,0.8739766950053756,0.027555866113911063,1.8151009691503688,0.06654308858978918
Europe,North Macedonia,None,2020-03-22,25.869572723357926,0.705136671730642,-151.322179041325,0.06633214296979628,0.7267150183629318,0.05130349988677134,0.46669156177175397,0.4563316605697436
Europe,Norway,None,2020-03-06,24.763469816420653,7.652370261565425,-15.939647456272066,9.203350369952968,0.08532876795579761,0.028991305901744084,13.803255616299719,0.00329481903207395
Asia,Oman,None,2020-03-26,11.408953773849099,0.6235640512729291,0.06488933631000027,0.0857359309587932,1.064378179979414,0.004656330358864829,0.09713966528050516,1.0409436057135972
Asia,Pakistan,None,2020-03-16,26.419100521819356,0.5669900511332516,-4.16540285768412,0.04168537421993154,1.3526315456987479,0.020577758508731486,0.4119502712784143,4.7647590611115
North America,Panama,None,2020-03-19,18.93244545680587,0.44176850002153484,-3.0042291878523355,0.016538114569431613,6.573117978306472,0.022531162452053933,7.827649112720591,0.2532200674251188
South America,Paraguay,None,2020-04-05,16.28441804626942,1.4058784964741151,-29.603103110526472,0.7206789357210431,1.4206854712512373,0.008095547870387146,0.3636616646354987,0.2712459887229868
South America,Peru,None,2020-03-17,14.20324843423477,1.0075514127263672,-2.574186013716419,0.4133343854201181,1.5119563199642418,0.029922601203793198,5.874615766834321,0.022611779463197562
Asia,Philippines,None,2020-03-14,25.10848955643214,0.4111584303143304,0.40618385958279635,0.008788478291418577,3.7307957203064057,0.046710817562975404,16.19258837631849,3.161196615906532
Europe,Poland,None,2020-03-14,39.846360843293475,0.9681383953682057,-57.605284417654474,0.28111928918133317,0.6868251981654147,0.04516748227233011,11.60329504137801,2.285102679138532
Europe,Portugal,None,2020-03-13,52.50334390746999,0.336117665360141,0.10829106884740072,0.06663660028737602,0.19106019218019268,0.043244556759829945,53.32433155732827,0.07930710827302527
Asia,Qatar,None,2020-03-11,22.64893953973516,1.1057294322841034,-0.02711988589822784,0.40665739008602125,0.02020941149067635,0.002468242506803167,0.14738078789318734,0.06706498347187
Europe,Romania,None,2020-03-14,38.973970530019756,0.43936138751041437,0.1253253198731377,0.17440280731430344,0.24279033104858605,0.06707143487851336,15.68720108304393,0.002436297178900483
Asia,Russia,None,2020-03-17,24.561618243166983,1.0678559089119612,2.675643205289067,0.5923435900585624,0.05772139845873374,0.01827083678919059,15.369642447249175,0.18486693939030546
Africa,Rwanda,None,2020-04-04,51.08221912031786,2.7212535497762045,-10.783677137068935,1.8090976214478345,0.007822726023615601,0.0019025967862664394,0.03512192607175052,0.01067201753086959
Europe,San Marino,None,2020-03-15,8.541813862893424,0.7582346519447701,-0.9169235204916827,0.8897647063680475,16.742821213996766,0.05957395842129294,0.029969997397659737,0.4915285276209495
Africa,Sao Tome and Principe,None,2020-05-05,9.66902608590439,1.4802640325046872,-1.5730977052155797,2.2591011003528436,0.37000363648166024,0.016214234825770852,0.13182387726718256,0.06367442937189033
Asia,Saudi Arabia,None,2020-03-14,25.161790792197728,0.6453620914987082,-1.269988458678653,0.16168771537628426,0.11580741953325731,0.009263898224693036,10.400529449013616,0.1849185678128837
Africa,Senegal,None,2020-03-26,10.420852811168615,2.4505513639595833,-23.978198264402526,1.0281960058891528,0.11067162153670936,0.015477651458231647,0.07825947076450554,0.14174605936475734
Europe,Serbia,None,2020-03-19,24.272597428553325,1.0173571619902737,1.0147444866055157,1.387053691591797,1.840087743100837,0.02096832746108648,3.339462947557831,1.5339052588691837
Africa,Sierra Leone,None,2020-04-28,8.622835759262712,0.9997017458927003,-23.207153384672342,0.7265815986525983,4.020494334304131,0.043439998789215985,1.7743041933002062,0.29684868367363526
Asia,Singapore,None,2020-02-29,26.620235302305318,9.353853643159692,-0.08339127927369687,5.406662980618224,3.404390517630541,0.0006938931941617751,0.0037985011710390333,0.0005356178185332633
Europe,Slovakia,None,2020-03-18,33.94286136552078,39.83532446542095,-0.15285611599423654,86.58649676527888,0.09005755834730451,0.018282429170055636,0.5463458574363,0.0006769874085502616
Europe,Slovenia,None,2020-03-13,22.188732610799732,3.750929901508356,-2.047088650134189,10.906230989347526,0.06759342809670206,0.07515301086132269,1.8593839791735642,0.014450327117450971
Africa,Somalia,None,2020-04-17,8.626101964535906,1.1824390921800763,-56.517446756241824,0.473469695422566,2.4047683901688246,0.033074747715294575,0.8895145474083898,2.436501569521567
Africa,South Africa,None,2020-03-18,17.511385571269155,1.2155944781547996,-424.2083054924112,0.048118090355634295,0.039029519451686846,0.04834205334857345,0.10888135223444592,1.9139600213945678
Africa,South Sudan,None,2020-05-08,15.695356151852273,1.3518941558265078,-7.215585456260411,1.6824280436962176,0.027394654204833183,0.042651923866497944,1.7366392536211037,0.11265298956013574
Europe,Spain,None,2020-03-02,9.636169702502283,2.172782728250183,10.162340261708446,5.1455545411528725,0.2293074675203977,0.11922481593861325,1.3939303693199765,0.2442403632983047
Asia,Sri Lanka,None,2020-03-24,24.698132818341243,0.7354113016061887,-19.894841528763465,0.30134915244946076,1.3158380259791709,0.006664526060462746,0.0027900520187792094,0.46935785672982455
Africa,Sudan,None,2020-04-20,6.822286651585756,1.584763850604321,-9.423620603452123,1.1889912528465885,0.12675963473877036,0.07292384544531293,5.2495571902103215,1.1088298923615723
South America,Suriname,None,2020-06-07,12.502827054288568,0.6709858939563655,-8.151788669037364,3.1699703866178086,0.3672099385550553,0.02541683422484197,1.5891965980333944,0.040382679374954475
Europe,Sweden,None,2020-03-06,340.1552944932145,0.4200931015182144,0.2923179806975254,0.03296503065594225,3.118055638463099,0.1033656493175218,23.516243490129877,0.05528339095136105
Europe,Switzerland,None,2020-03-05,9.586009014011498,5.7988660095200775,5.673825783730057,18.088770933485293,0.09199127336521538,0.06333399081417725,0.11763862701199884,0.012854181836056189
Asia,Tajikistan,None,2020-05-03,15.454958413556916,3.0522665833281684,-1.0752026710173346,8.04006457019745,5.993961408109617,0.010243159802854387,4.188267558138501,0.742050448152473
Africa,Tanzania,None,2020-04-17,4.477819662800409,0.012052346834081774,-559.6821050666559,117.25679021585448,0.20171141864742392,0.03355479798104795,2.853657760079534,0.27212893812135475
Asia,Thailand,None,2020-03-15,13.84583621785267,19.84896675924755,-0.5060385550559354,84.62365757628834,0.12698409402527636,0.018476562387699028,6.211535434485921,0.012275139013448594
Africa,Togo,None,2020-04-29,5.840435107746638,0.7409325608374275,1.5286186157902588,1.6336066931760536,14.965830383239156,0.013134703157573079,1.0799879563945352,0.029428738488944162
South America,Trinidad and Tobago,None,2020-04-04,1.1511724943758952,0.51869711178588,-9.72885668112616,2.1126566664313087,2.0709972280079167,0.024475306744356974,0.08604847885749675,0.04316236257110283
