"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"Wisconsin",2020-04-13,-379.5,442.5,63,1000,1000,1000
"Wyoming",2020-04-13,-54,60,6,1000,1000,1000
"Alabama",2020-04-14,-418,472,54,1000,1000,1000
"Alaska",2020-04-14,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-14,-673.5,745.5,72,1000,1000,1000
"Arkansas",2020-04-14,-312.5,327.5,15,1000,1000,1000
"California",2020-04-14,-2953,3494,541,1000,1000,1000
"Colorado",2020-04-14,-386.5,522.5,136,1000,1000,1000
"Connecticut",2020-04-14,-53,343,290,1000,1000,1000
"Delaware",2020-04-14,-80.5,108.5,28,1000,1000,1000
"Florida",2020-04-14,-1927,2460,533,1000,1000,1000
"Georgia",2020-04-14,-873,1147,274,1000,1000,1000
"Hawaii",2020-04-14,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-14,-51.5,103.5,52,1000,1000,1000
"Illinois",2020-04-14,-728,1141,413,1000,1000,1000
"Indiana",2020-04-14,-545,764,219,1000,1000,1000
"Iowa",2020-04-14,-253.5,280.5,27,1000,1000,1000
"Kansas",2020-04-14,-242.5,262.5,20,1000,1000,1000
"Kentucky",2020-04-14,-460.5,488.5,28,1000,1000,1000
"Louisiana",2020-04-14,110.5,568.5,679,1000,1000,1000
"Maine",2020-04-14,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-14,-338,499,161,1000,1000,1000
"Massachusetts",2020-04-14,-299,741,442,1000,1000,1000
"Michigan",2020-04-14,-281,933,652,1000,1000,1000
"Minnesota",2020-04-14,-413,431,18,1000,1000,1000
"Mississippi",2020-04-14,-331.5,385.5,54,1000,1000,1000
"Missouri",2020-04-14,-619.5,736.5,117,1000,1000,1000
"Montana",2020-04-14,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-14,-234,247,13,1000,1000,1000
"Nevada",2020-04-14,-377.5,429.5,52,1000,1000,1000
"New Hampshire",2020-04-14,-85,107,22,1000,1000,1000
"New Jersey",2020-04-14,943,751,1694,1000,1000,1000
"New Mexico",2020-04-14,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-14,1410,2262,3672,1000,1000,1000
"North Carolina",2020-04-14,-878,980,102,1000,1000,1000
"North Dakota",2020-04-14,-91,102,11,1000,1000,1000
"Ohio",2020-04-14,-1243.5,1382.5,139,1000,1000,1000
"Oklahoma",2020-04-14,-343.5,390.5,47,1000,1000,1000
"Oregon",2020-04-14,-249,277,28,1000,1000,1000
"Pennsylvania",2020-04-14,-819.5,1518.5,699,1000,1000,1000
"Rhode Island",2020-04-14,-62.5,98.5,36,1000,1000,1000
"South Carolina",2020-04-14,-430,528,98,1000,1000,1000
"South Dakota",2020-04-14,-69,81,12,1000,1000,1000
"Tennessee",2020-04-14,-687,816,129,1000,1000,1000
"Texas",2020-04-14,-2808.5,3124.5,316,1000,1000,1000
"Utah",2020-04-14,-236.5,291.5,55,1000,1000,1000
"Vermont",2020-04-14,-34,45,11,1000,1000,1000
"Virginia",2020-04-14,-595.5,711.5,116,1000,1000,1000
"Washington",2020-04-14,-337.5,473.5,136,1000,1000,1000
"West Virginia",2020-04-14,-252,266,14,1000,1000,1000
"Wisconsin",2020-04-14,-378.5,442.5,64,1000,1000,1000
"Wyoming",2020-04-14,-54,60,6,1000,1000,1000
"Alabama",2020-04-15,-418,472,54,1000,1000,1000
"Alaska",2020-04-15,-48.5,53.5,5,1000,1000,1000
"Arizona",2020-04-15,-673.5,745.5,72,1000,1000,1000
"Arkansas",2020-04-15,-312.5,327.5,15,1000,1000,1000
"California",2020-04-15,-2941,3494,553,1000,1000,1000
"Colorado",2020-04-15,-387.5,522.5,135,1000,1000,1000
"Connecticut",2020-04-15,-42,343,301,1000,1000,1000
"Delaware",2020-04-15,-79.5,108.5,29,1000,1000,1000
"Florida",2020-04-15,-1911,2460,549,1000,1000,1000
"Georgia",2020-04-15,-868,1147,279,1000,1000,1000
"Hawaii",2020-04-15,-115.5,125.5,10,1000,1000,1000
"Idaho",2020-04-15,-49.5,103.5,54,1000,1000,1000
"Illinois",2020-04-15,-721,1141,420,1000,1000,1000
"Indiana",2020-04-15,-537,764,227,1000,1000,1000
"Iowa",2020-04-15,-252.5,280.5,28,1000,1000,1000
"Kansas",2020-04-15,-242.5,262.5,20,1000,1000,1000
"Kentucky",2020-04-15,-460.5,488.5,28,1000,1000,1000
"Louisiana",2020-04-15,137.5,568.5,706,1000,1000,1000
"Maine",2020-04-15,-95.5,108.5,13,1000,1000,1000
"Maryland",2020-04-15,-332,499,167,1000,1000,1000
"Massachusetts",2020-04-15,-295,741,446,1000,1000,1000
"Michigan",2020-04-15,-265,933,668,1000,1000,1000
"Minnesota",2020-04-15,-413,431,18,1000,1000,1000
"Mississippi",2020-04-15,-329.5,385.5,56,1000,1000,1000
"Missouri",2020-04-15,-614.5,736.5,122,1000,1000,1000
"Montana",2020-04-15,-77.5,85.5,8,1000,1000,1000
"Nebraska",2020-04-15,-234,247,13,1000,1000,1000
"Nevada",2020-04-15,-377.5,429.5,52,1000,1000,1000
"New Hampshire",2020-04-15,-84,107,23,1000,1000,1000
"New Jersey",2020-04-15,1008,751,1759,1000,1000,1000
"New Mexico",2020-04-15,-168.5,186.5,18,1000,1000,1000
"New York",2020-04-15,1443,2262,3705,1000,1000,1000
"North Carolina",2020-04-15,-876,980,104,1000,1000,1000
"North Dakota",2020-04-15,-90,102,12,1000,1000,1000
"Ohio",2020-04-15,-1241.5,1382.5,141,1000,1000,1000
"Oklahoma",2020-04-15,-342.5,390.5,48,1000,1000,1000
"Oregon",2020-04-15,-249,277,28,1000,1000,1000
"Pennsylvania",2020-04-15,-777.5,1518.5,741,1000,1000,1000
"Rhode Island",2020-04-15,-62.5,98.5,36,1000,1000,1000
