"State","Date","Shortage","Supply","Demand","Param1","Param2","Param3"
"South Carolina",2020-04-11,-451,528,77,1000,1000,1000
"Rhode Island",2020-04-11,-9.5,98.5,89,1000,1000,1000
"Pennsylvania",2020-04-11,-1251.5,1518.5,267,1000,1000,1000
"Oregon",2020-04-11,-247,277,30,1000,1000,1000
"Oklahoma",2020-04-11,-238.5,390.5,152,1000,1000,1000
"Ohio",2020-04-11,-1158.5,1382.5,224,1000,1000,1000
"North Dakota",2020-04-11,17,102,119,1000,1000,1000
"North Carolina",2020-04-11,-778,980,202,1000,1000,1000
"New York",2020-04-11,3250,2262,5512,1000,1000,1000
"New Mexico",2020-04-11,-67.5,186.5,119,1000,1000,1000
"New Jersey",2020-04-11,2966,751,3717,1000,1000,1000
"New Hampshire",2020-04-11,-97,107,10,1000,1000,1000
"Nevada",2020-04-11,-146.5,429.5,283,1000,1000,1000
"Nebraska",2020-04-11,-188,247,59,1000,1000,1000
"Montana",2020-04-11,-79.5,85.5,6,1000,1000,1000
"Missouri",2020-04-11,-670.5,736.5,66,1000,1000,1000
"Mississippi",2020-04-11,-326.5,385.5,59,1000,1000,1000
"Minnesota",2020-04-11,-320,431,111,1000,1000,1000
"Michigan",2020-04-11,429,933,1362,1000,1000,1000
"Massachusetts",2020-04-11,950,741,1691,1000,1000,1000
"Maryland",2020-04-11,122,499,621,1000,1000,1000
"Maine",2020-04-11,-69.5,108.5,39,1000,1000,1000
"Louisiana",2020-04-11,-405.5,568.5,163,1000,1000,1000
"Kentucky",2020-04-11,-270.5,488.5,218,1000,1000,1000
"Kansas",2020-04-11,-205.5,262.5,57,1000,1000,1000
"Iowa",2020-04-11,-225.5,280.5,55,1000,1000,1000
"Indiana",2020-04-11,-215,764,549,1000,1000,1000
"Illinois",2020-04-11,175,1141,1316,1000,1000,1000
"Idaho",2020-04-11,-79.5,103.5,24,1000,1000,1000
"Hawaii",2020-04-11,-33.5,125.5,92,1000,1000,1000
"Georgia",2020-04-11,-423,1147,724,1000,1000,1000
"Florida",2020-04-11,-1390,2460,1070,1000,1000,1000
"Delaware",2020-04-11,-89.5,108.5,19,1000,1000,1000
"Connecticut",2020-04-11,537,343,880,1000,1000,1000
"Colorado",2020-04-11,-416.5,522.5,106,1000,1000,1000
"California",2020-04-11,-2878,3494,616,1000,1000,1000
"Arkansas",2020-04-11,-280.5,327.5,47,1000,1000,1000
"Arizona",2020-04-11,-642.5,745.5,103,1000,1000,1000
"Alaska",2020-04-11,56.5,53.5,110,1000,1000,1000
"Alabama",2020-04-11,-237,472,235,1000,1000,1000
"Wyoming",2020-04-12,-53,60,7,1000,1000,1000
"Wisconsin",2020-04-12,-229.5,442.5,213,1000,1000,1000
"West Virginia",2020-04-12,-202,266,64,1000,1000,1000
"Washington",2020-04-12,-321.5,473.5,152,1000,1000,1000
"Virginia",2020-04-12,-404.5,711.5,307,1000,1000,1000
"Vermont",2020-04-12,-37,45,8,1000,1000,1000
"Utah",2020-04-12,-259.5,291.5,32,1000,1000,1000
"Texas",2020-04-12,-2691.5,3124.5,433,1000,1000,1000
"Tennessee",2020-04-12,-626,816,190,1000,1000,1000
"South Dakota",2020-04-12,-69,81,12,1000,1000,1000
"South Carolina",2020-04-12,-448,528,80,1000,1000,1000
"Rhode Island",2020-04-12,-1.5,98.5,97,1000,1000,1000
"Pennsylvania",2020-04-12,-1247.5,1518.5,271,1000,1000,1000
"Oregon",2020-04-12,-245,277,32,1000,1000,1000
"Oklahoma",2020-04-12,-227.5,390.5,163,1000,1000,1000
"Ohio",2020-04-12,-1160.5,1382.5,222,1000,1000,1000
"North Dakota",2020-04-12,26,102,128,1000,1000,1000
"North Carolina",2020-04-12,-768,980,212,1000,1000,1000
"New York",2020-04-12,3007,2262,5269,1000,1000,1000
"New Mexico",2020-04-12,-52.5,186.5,134,1000,1000,1000
"New Jersey",2020-04-12,3121,751,3872,1000,1000,1000
"New Hampshire",2020-04-12,-96,107,11,1000,1000,1000
"Nevada",2020-04-12,-126.5,429.5,303,1000,1000,1000
"Nebraska",2020-04-12,-182,247,65,1000,1000,1000
"Montana",2020-04-12,-78.5,85.5,7,1000,1000,1000
"Missouri",2020-04-12,-666.5,736.5,70,1000,1000,1000
"Mississippi",2020-04-12,-323.5,385.5,62,1000,1000,1000
"Minnesota",2020-04-12,-311,431,120,1000,1000,1000
"Michigan",2020-04-12,379,933,1312,1000,1000,1000
"Massachusetts",2020-04-12,1122,741,1863,1000,1000,1000
"Maryland",2020-04-12,206,499,705,1000,1000,1000
"Maine",2020-04-12,-67.5,108.5,41,1000,1000,1000
"Louisiana",2020-04-12,-425.5,568.5,143,1000,1000,1000
"Kentucky",2020-04-12,-248.5,488.5,240,1000,1000,1000
"Kansas",2020-04-12,-201.5,262.5,61,1000,1000,1000
"Iowa",2020-04-12,-220.5,280.5,60,1000,1000,1000
"Indiana",2020-04-12,-168,764,596,1000,1000,1000
"Illinois",2020-04-12,237,1141,1378,1000,1000,1000
"Idaho",2020-04-12,-79.5,103.5,24,1000,1000,1000
"Hawaii",2020-04-12,-30.5,125.5,95,1000,1000,1000
"Georgia",2020-04-12,-369,1147,778,1000,1000,1000
"Florida",2020-04-12,-1232,2460,1228,1000,1000,1000
"Delaware",2020-04-12,-90.5,108.5,18,1000,1000,1000
"Connecticut",2020-04-12,636,343,979,1000,1000,1000
"Colorado",2020-04-12,-416.5,522.5,106,1000,1000,1000
"California",2020-04-12,-2847,3494,647,1000,1000,1000
"Arkansas",2020-04-12,-276.5,327.5,51,1000,1000,1000
"Arizona",2020-04-12,-637.5,745.5,108,1000,1000,1000
"Alaska",2020-04-12,59.5,53.5,113,1000,1000,1000
"Alabama",2020-04-12,-215,472,257,1000,1000,1000
"Wyoming",2020-04-13,-51,60,9,1000,1000,1000
"Wisconsin",2020-04-13,-218.5,442.5,224,1000,1000,1000
"West Virginia",2020-04-13,-188,266,78,1000,1000,1000
"Washington",2020-04-13,-326.5,473.5,147,1000,1000,1000
"Virginia",2020-04-13,-377.5,711.5,334,1000,1000,1000
"Vermont",2020-04-13,-38,45,7,1000,1000,1000
"Utah",2020-04-13,-257.5,291.5,34,1000,1000,1000
"Texas",2020-04-13,-2655.5,3124.5,469,1000,1000,1000
"Tennessee",2020-04-13,-619,816,197,1000,1000,1000
"South Dakota",2020-04-13,-66,81,15,1000,1000,1000
"South Carolina",2020-04-13,-445,528,83,1000,1000,1000
"Rhode Island",2020-04-13,8.5,98.5,107,1000,1000,1000
"Pennsylvania",2020-04-13,-1243.5,1518.5,275,1000,1000,1000
"Oregon",2020-04-13,-244,277,33,1000,1000,1000
"Oklahoma",2020-04-13,-218.5,390.5,172,1000,1000,1000
"Ohio",2020-04-13,-1169.5,1382.5,213,1000,1000,1000
"North Dakota",2020-04-13,33,102,135,1000,1000,1000
"North Carolina",2020-04-13,-761,980,219,1000,1000,1000
"New York",2020-04-13,2700,2262,4962,1000,1000,1000
"New Mexico",2020-04-13,-40.5,186.5,146,1000,1000,1000
"New Jersey",2020-04-13,3240,751,3991,1000,1000,1000
"New Hampshire",2020-04-13,-95,107,12,1000,1000,1000
"Nevada",2020-04-13,-102.5,429.5,327,1000,1000,1000
"Nebraska",2020-04-13,-173,247,74,1000,1000,1000
"Montana",2020-04-13,-78.5,85.5,7,1000,1000,1000
"Missouri",2020-04-13,-661.5,736.5,75,1000,1000,1000
"Mississippi",2020-04-13,-321.5,385.5,64,1000,1000,1000
"Minnesota",2020-04-13,-301,431,130,1000,1000,1000
"Michigan",2020-04-13,310,933,1243,1000,1000,1000
"Massachusetts",2020-04-13,1303,741,2044,1000,1000,1000
"Maryland",2020-04-13,276,499,775,1000,1000,1000
"Maine",2020-04-13,-65.5,108.5,43,1000,1000,1000
"Louisiana",2020-04-13,-442.5,568.5,126,1000,1000,1000
"Kentucky",2020-04-13,-227.5,488.5,261,1000,1000,1000
"Kansas",2020-04-13,-197.5,262.5,65,1000,1000,1000
"Iowa",2020-04-13,-214.5,280.5,66,1000,1000,1000
"Indiana",2020-04-13,-126,764,638,1000,1000,1000
"Illinois",2020-04-13,275,1141,1416,1000,1000,1000
"Idaho",2020-04-13,-78.5,103.5,25,1000,1000,1000
"Hawaii",2020-04-13,-32.5,125.5,93,1000,1000,1000
"Georgia",2020-04-13,-310,1147,837,1000,1000,1000
"Florida",2020-04-13,-1121,2460,1339,1000,1000,1000
"Delaware",2020-04-13,-90.5,108.5,18,1000,1000,1000
"Connecticut",2020-04-13,728,343,1071,1000,1000,1000
"Colorado",2020-04-13,-420.5,522.5,102,1000,1000,1000
"California",2020-04-13,-2831,3494,663,1000,1000,1000
"Arkansas",2020-04-13,-271.5,327.5,56,1000,1000,1000
"Arizona",2020-04-13,-630.5,745.5,115,1000,1000,1000
"Alaska",2020-04-13,59.5,53.5,113,1000,1000,1000
"Alabama",2020-04-13,-197,472,275,1000,1000,1000
"Wyoming",2020-04-14,-49,60,11,1000,1000,1000
"Wisconsin",2020-04-14,-209.5,442.5,233,1000,1000,1000
"West Virginia",2020-04-14,-175,266,91,1000,1000,1000
"Washington",2020-04-14,-332.5,473.5,141,1000,1000,1000
"Virginia",2020-04-14,-350.5,711.5,361,1000,1000,1000
"Vermont",2020-04-14,-37,45,8,1000,1000,1000
"Utah",2020-04-14,-253.5,291.5,38,1000,1000,1000
"Texas",2020-04-14,-2629.5,3124.5,495,1000,1000,1000
"Tennessee",2020-04-14,-611,816,205,1000,1000,1000
"South Dakota",2020-04-14,-62,81,19,1000,1000,1000
"South Carolina",2020-04-14,-440,528,88,1000,1000,1000
"Rhode Island",2020-04-14,20.5,98.5,119,1000,1000,1000
"Pennsylvania",2020-04-14,-1241.5,1518.5,277,1000,1000,1000
"Oregon",2020-04-14,-242,277,35,1000,1000,1000
"Oklahoma",2020-04-14,-205.5,390.5,185,1000,1000,1000
"Ohio",2020-04-14,-1175.5,1382.5,207,1000,1000,1000
"North Dakota",2020-04-14,43,102,145,1000,1000,1000
"North Carolina",2020-04-14,-756,980,224,1000,1000,1000
"New York",2020-04-14,2393,2262,4655,1000,1000,1000
"New Mexico",2020-04-14,-28.5,186.5,158,1000,1000,1000
"New Jersey",2020-04-14,3390,751,4141,1000,1000,1000
"New Hampshire",2020-04-14,-95,107,12,1000,1000,1000
"Nevada",2020-04-14,-78.5,429.5,351,1000,1000,1000
"Nebraska",2020-04-14,-165,247,82,1000,1000,1000
"Montana",2020-04-14,-78.5,85.5,7,1000,1000,1000
"Missouri",2020-04-14,-657.5,736.5,79,1000,1000,1000
"Mississippi",2020-04-14,-319.5,385.5,66,1000,1000,1000
"Minnesota",2020-04-14,-292,431,139,1000,1000,1000
"Michigan",2020-04-14,240,933,1173,1000,1000,1000
"Massachusetts",2020-04-14,1459,741,2200,1000,1000,1000
"Maryland",2020-04-14,352,499,851,1000,1000,1000
"Maine",2020-04-14,-63.5,108.5,45,1000,1000,1000
"Louisiana",2020-04-14,-462.5,568.5,106,1000,1000,1000
"Kentucky",2020-04-14,-206.5,488.5,282,1000,1000,1000
"Kansas",2020-04-14,-195.5,262.5,67,1000,1000,1000
"Iowa",2020-04-14,-209.5,280.5,71,1000,1000,1000
"Indiana",2020-04-14,-86,764,678,1000,1000,1000
"Illinois",2020-04-14,347,1141,1488,1000,1000,1000
"Idaho",2020-04-14,-77.5,103.5,26,1000,1000,1000
"Hawaii",2020-04-14,-32.5,125.5,93,1000,1000,1000
"Georgia",2020-04-14,-255,1147,892,1000,1000,1000
"Florida",2020-04-14,-988,2460,1472,1000,1000,1000
"Delaware",2020-04-14,-91.5,108.5,17,1000,1000,1000
"Connecticut",2020-04-14,816,343,1159,1000,1000,1000
"Colorado",2020-04-14,-426.5,522.5,96,1000,1000,1000
"California",2020-04-14,-2816,3494,678,1000,1000,1000
"Arkansas",2020-04-14,-266.5,327.5,61,1000,1000,1000
"Arizona",2020-04-14,-625.5,745.5,120,1000,1000,1000
"Alaska",2020-04-14,66.5,53.5,120,1000,1000,1000
"Alabama",2020-04-14,-178,472,294,1000,1000,1000
"Wyoming",2020-04-15,-47,60,13,1000,1000,1000
"Wisconsin",2020-04-15,-197.5,442.5,245,1000,1000,1000
"West Virginia",2020-04-15,-165,266,101,1000,1000,1000
"Washington",2020-04-15,-337.5,473.5,136,1000,1000,1000
"Virginia",2020-04-15,-326.5,711.5,385,1000,1000,1000
"Vermont",2020-04-15,-38,45,7,1000,1000,1000
"Utah",2020-04-15,-251.5,291.5,40,1000,1000,1000
"Texas",2020-04-15,-2600.5,3124.5,524,1000,1000,1000
"Tennessee",2020-04-15,-608,816,208,1000,1000,1000
"South Dakota",2020-04-15,-58,81,23,1000,1000,1000
"South Carolina",2020-04-15,-436,528,92,1000,1000,1000
"Rhode Island",2020-04-15,31.5,98.5,130,1000,1000,1000
"Pennsylvania",2020-04-15,-1241.5,1518.5,277,1000,1000,1000
"Oregon",2020-04-15,-241,277,36,1000,1000,1000
"Oklahoma",2020-04-15,-197.5,390.5,193,1000,1000,1000
"Ohio",2020-04-15,-1186.5,1382.5,196,1000,1000,1000
"North Dakota",2020-04-15,48,102,150,1000,1000,1000
"North Carolina",2020-04-15,-756,980,224,1000,1000,1000
"New York",2020-04-15,1988,2262,4250,1000,1000,1000
"New Mexico",2020-04-15,-16.5,186.5,170,1000,1000,1000
"New Jersey",2020-04-15,3491,751,4242,1000,1000,1000
"New Hampshire",2020-04-15,-94,107,13,1000,1000,1000
"Nevada",2020-04-15,-58.5,429.5,371,1000,1000,1000
"Nebraska",2020-04-15,-158,247,89,1000,1000,1000
"Montana",2020-04-15,-78.5,85.5,7,1000,1000,1000
"Missouri",2020-04-15,-652.5,736.5,84,1000,1000,1000
"Mississippi",2020-04-15,-318.5,385.5,67,1000,1000,1000
"Minnesota",2020-04-15,-283,431,148,1000,1000,1000
"Michigan",2020-04-15,133,933,1066,1000,1000,1000
"Massachusetts",2020-04-15,1559,741,2300,1000,1000,1000
"Maryland",2020-04-15,418,499,917,1000,1000,1000
"Maine",2020-04-15,-62.5,108.5,46,1000,1000,1000
"Louisiana",2020-04-15,-479.5,568.5,89,1000,1000,1000
"Kentucky",2020-04-15,-188.5,488.5,300,1000,1000,1000
"Kansas",2020-04-15,-191.5,262.5,71,1000,1000,1000
"Iowa",2020-04-15,-203.5,280.5,77,1000,1000,1000
"Indiana",2020-04-15,-59,764,705,1000,1000,1000
"Illinois",2020-04-15,387,1141,1528,1000,1000,1000
"Idaho",2020-04-15,-77.5,103.5,26,1000,1000,1000
